@relation experiment

@attribute dep_1 real
@attribute dep_2 real
@attribute dep_3 real
@attribute dep_4 real
@attribute dep_5 real
@attribute dep_6 real
@attribute dep_7 real
@attribute dep_8 real
@attribute dep_9 real
@attribute dep_10 real
@attribute class {n,p}

@data
19626, 19642, 0, 0, 0, 0, 0, 0, 0, 0, p
19642, 19626, 0, 0, 0, 0, 0, 0, 0, 0, n
19642, 19642, 0, 0, 0, 0, 0, 0, 19626, 19642, p
19642, 19642, 0, 0, 0, 0, 0, 0, 19626, 19642, n
19703, 19709, 0, 0, 0, 0, 19626, 19642, 19642, 19642, p
19709, 19703, 0, 0, 0, 0, 19626, 19642, 19642, 19642, n
19709, 19709, 0, 0, 19626, 19642, 19642, 19642, 19703, 19709, p
19709, 19709, 0, 0, 19626, 19642, 19642, 19642, 19703, 19709, n
19709, 19717, 19626, 19642, 19642, 19642, 19703, 19709, 19709, 19709, p
19717, 19709, 19626, 19642, 19642, 19642, 19703, 19709, 19709, 19709, n
20124, 20130, 19642, 19642, 19703, 19709, 19709, 19709, 19709, 19717, p
20130, 20124, 19642, 19642, 19703, 19709, 19709, 19709, 19709, 19717, n
20130, 20130, 19703, 19709, 19709, 19709, 19709, 19717, 20124, 20130, p
20130, 20130, 19703, 19709, 19709, 19709, 19709, 19717, 20124, 20130, n
20130, 20138, 19709, 19709, 19709, 19717, 20124, 20130, 20130, 20130, p
20138, 20130, 19709, 19709, 19709, 19717, 20124, 20130, 20130, 20130, n
22237, 22243, 19709, 19717, 20124, 20130, 20130, 20130, 20130, 20138, p
22243, 22237, 19709, 19717, 20124, 20130, 20130, 20130, 20130, 20138, n
22243, 22243, 20124, 20130, 20130, 20130, 20130, 20138, 22237, 22243, p
22243, 22243, 20124, 20130, 20130, 20130, 20130, 20138, 22237, 22243, n
22243, 22251, 20130, 20130, 20130, 20138, 22237, 22243, 22243, 22243, p
22251, 22243, 20130, 20130, 20130, 20138, 22237, 22243, 22243, 22243, n
24167, 23484, 20130, 20138, 22237, 22243, 22243, 22243, 22243, 22251, p
23484, 24167, 20130, 20138, 22237, 22243, 22243, 22243, 22243, 22251, n
24169, 23895, 22237, 22243, 22243, 22243, 22243, 22251, 24167, 23484, p
23895, 24169, 22237, 22243, 22243, 22243, 22243, 22251, 24167, 23484, n
24215, 23514, 22243, 22243, 22243, 22251, 24167, 23484, 24169, 23895, p
23514, 24215, 22243, 22243, 22243, 22251, 24167, 23484, 24169, 23895, n
24217, 23943, 22243, 22251, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 22243, 22251, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24167, 23484, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23484, 24167, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24169, 23895, 24167, 23484, 24169, 23895, 24215, 23514, 24167, 23484, p
23895, 24169, 24167, 23484, 24169, 23895, 24215, 23514, 24167, 23484, n
24215, 23514, 24169, 23895, 24215, 23514, 24167, 23484, 24169, 23895, p
23514, 24215, 24169, 23895, 24215, 23514, 24167, 23484, 24169, 23895, n
24217, 23943, 24215, 23514, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24215, 23514, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
24217, 23943, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, p
23943, 24217, 24217, 23943, 24167, 23484, 24169, 23895, 24215, 23514, n
24167, 23484, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, p
23484, 24167, 24167, 23484, 24169, 23895, 24215, 23514, 24217, 23943, n
24169, 23895, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, p
23895, 24169, 24169, 23895, 24215, 23514, 24217, 23943, 24167, 23484, n
24215, 23514, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, p
23514, 24215, 24215, 23514, 24217, 23943, 24167, 23484, 24169, 23895, n
